gene_name	source	accession	description
GRMZM5G840928	RefSeq peptide	NP_001136624	hypothetical protein LOC100216749 
GRMZM5G832710	UniProtKB/TrEMBL	C4J8H9	Putative uncharacterized protein 
GRMZM5G866334	RefSeq peptide	NP_001130176	hypothetical protein LOC100191270 
GRMZM5G804328	UniProtKB/TrEMBL	C0PM64	Putative uncharacterized protein 
GRMZM2G151050	RefSeq peptide	NP_001148113	LOC100281721 
GRMZM5G814700	RefSeq peptide	NP_001132246	hypothetical protein LOC100193681 
GRMZM5G858512	RefSeq peptide	NP_001168607	hypothetical protein LOC100382391 
GRMZM2G081333	UniProtKB/TrEMBL	C0P423	Putative uncharacterized protein 
GRMZM2G074436	RefSeq peptide	NP_001143596	hypothetical protein LOC100276301 
GRMZM5G808090	RefSeq peptide	NP_001168150	hypothetical protein LOC100381901 
GRMZM5G855853	RefSeq peptide	NP_001170557	hypothetical protein LOC100384580 
GRMZM2G038820	RefSeq peptide	NP_001169967	hypothetical protein LOC100383867 
GRMZM5G808822	RefSeq peptide	NP_001170533	hypothetical protein LOC100384547 
GRMZM2G093096	RefSeq peptide	NP_001143373	hypothetical protein LOC100276005 
GRMZM5G822857	UniProtKB/TrEMBL	C4J3K9	Putative uncharacterized protein 
GRMZM5G886266	UniProtKB/TrEMBL	C4IZB4	Putative uncharacterized protein 
GRMZM5G815839	RefSeq DNA	NM_001146917	hypothetical protein LOC100272443 (LOC100272443), mRNA
GRMZM5G830635	UniProtKB/TrEMBL	C0PFC0	Putative uncharacterized protein 
GRMZM2G149224	RefSeq peptide	NP_001150065	sterol-4-alpha-carboxylate 3-dehydrogenase, decarboxylating 
GRMZM5G828488	RefSeq peptide	NP_001149241	ids4-like protein 
GRMZM2G524711	RefSeq peptide	NP_001141509	hypothetical protein LOC100273621 
GRMZM5G897267	RefSeq DNA	NM_001151349	hypothetical protein LOC100277903 (LOC100277903), mRNA
GRMZM2G027451	RefSeq peptide	NP_001149336	60S ribosomal protein L10-3 
GRMZM5G895889	RefSeq peptide	NP_001170527	hypothetical protein LOC100384541 
GRMZM2G010801	RefSeq peptide	NP_001168658	hypothetical protein LOC100382446 
GRMZM2G401029	UniProtKB/TrEMBL	C4J5Q7	Putative uncharacterized protein 
GRMZM5G840435	RefSeq peptide	NP_001131350	hypothetical protein LOC100192670 
GRMZM2G521844	RefSeq peptide	NP_001170065	hypothetical protein LOC100383981 
GRMZM5G876576	UniProtKB/TrEMBL	C0PN57	Putative uncharacterized protein 
GRMZM5G839349	RefSeq peptide	NP_001145757	hypothetical protein LOC100279264 
GRMZM5G853392	RefSeq DNA	NM_001136903	LOC100191470 (TIDP3664), mRNA
GRMZM2G156218	RefSeq peptide	NP_001131776	hypothetical protein LOC100193146 
GRMZM2G135044	RefSeq peptide	NP_001140317	hypothetical protein LOC100272362 
GRMZM5G897073	RefSeq peptide	NP_001170673	hypothetical protein LOC100384735 
GRMZM5G806367	UniProtKB/TrEMBL	C4J2U7	Putative uncharacterized protein 
GRMZM2G540403	RefSeq peptide	NP_001152063	peroxisomal membrane carrier protein 
GRMZM2G128156	RefSeq peptide	NP_001132304	hypothetical protein LOC100193745 
GRMZM5G886952	RefSeq peptide	NP_001146833	LOC100280440 
GRMZM2G007055	RefSeq peptide	NP_001145808	hypothetical protein LOC100279315 
GRMZM2G137236	RefSeq peptide	NP_001146475	hypothetical protein LOC100280063 
GRMZM5G804870	UniProtKB/TrEMBL	C4J5J0	Putative uncharacterized protein 
GRMZM2G126218	RefSeq peptide	NP_001144884	hypothetical protein LOC100277985 
GRMZM5G863796	UniProtKB/TrEMBL	C0P9B5	Putative uncharacterized protein 
GRMZM2G170839	RefSeq DNA	NM_001111442	xylanase1 (xyl1), mRNA
GRMZM2G026447	RefSeq peptide	NP_001148060	MAC/Perforin domain containing protein 
GRMZM2G119248	RefSeq peptide	NP_001147874	LOC100281484 
GRMZM5G801875	RefSeq peptide	NP_001132241	hypothetical protein LOC100193676 
GRMZM5G848739	RefSeq peptide	NP_001170207	hypothetical protein LOC100384158 
GRMZM5G866403	RefSeq peptide	NP_001144525	hypothetical protein LOC100277519 
GRMZM2G106165	RefSeq peptide	NP_001148149	retinoid-inducible serine carboxypeptidase 
GRMZM2G141456	RefSeq peptide	NP_001130521	hypothetical protein LOC100191620 
GRMZM5G806257	UniProtKB/TrEMBL	B4FNG5	Putative uncharacterized protein 
GRMZM5G808853	RefSeq peptide	NP_001137130	hypothetical protein LOC100217312 
GRMZM5G862817	RefSeq peptide	NP_001150987	phloem-specific lectin 
GRMZM5G806449	RefSeq peptide	NP_001141545	hypothetical protein LOC100273659 
GRMZM5G894016	UniProtKB/TrEMBL	C4J3R9	Putative uncharacterized protein 
GRMZM5G897740	RefSeq peptide	NP_001170235	hypothetical protein LOC100384188 
GRMZM5G841101	RefSeq peptide	NP_001137027	hypothetical protein LOC100217196 
GRMZM5G824600	UniProtKB/Swiss-Prot	P93629	Alcohol dehydrogenase class-3 (EC 1.1.1.1)(Alcohol dehydrogenase class-III)(S-(hydroxymethyl)glutathione dehydrogenase)(EC 1.1.1.284)(Glutathione-dependent formaldehyde dehydrogenase)(GSH-FDH)(FALDH)(FDH)(EC 1.1.1.-)
GRMZM2G091151	RefSeq peptide	NP_001152034	LOC100285671 
GRMZM5G841900	RefSeq peptide	NP_001148354	3-5 exoribonuclease CSL4 
GRMZM2G450659	RefSeq peptide	NP_001170634	hypothetical protein LOC100384686 
GRMZM5G848492	UniProtKB/TrEMBL	C0PJ21	Putative uncharacterized protein 
GRMZM5G871520	RefSeq peptide	NP_001169960	hypothetical protein LOC100383859 
GRMZM5G800598	UniProtKB/TrEMBL	B4FJ47	Putative uncharacterized protein 
GRMZM2G356938	RefSeq peptide	NP_001148812	voltage-gated potassium channel beta subunit 
GRMZM5G848768	RefSeq peptide	NP_001131193	hypothetical protein LOC100192501 
GRMZM5G837869	UniProtKB/TrEMBL	B6SVI8	Cytochrome P450 CYP97A16 
GRMZM5G894916	RefSeq peptide	NP_001131339	hypothetical protein LOC100192656 
GRMZM5G879872	RefSeq peptide	NP_001140830	hypothetical protein LOC100272905 
GRMZM5G865500	RefSeq peptide	NP_001169024	hypothetical protein LOC100382857 
GRMZM5G896154	RefSeq DNA	NM_001177153	hypothetical protein LOC100384670 (LOC100384670), mRNA
GRMZM2G122160	RefSeq peptide	NP_001142774	hypothetical protein LOC100275133 
GRMZM2G008259	RefSeq peptide	NP_001130969	hypothetical protein LOC100192074 
GRMZM2G085711	RefSeq peptide	NP_001167731	hypothetical protein LOC100381419 
GRMZM5G870077	RefSeq peptide	NP_001169308	hypothetical protein LOC100383172 
GRMZM5G845218	UniProtKB/TrEMBL	C0HFR1	Putative uncharacterized protein 
GRMZM2G032419	RefSeq peptide	NP_001141722	hypothetical protein LOC100273853 
GRMZM2G049623	RefSeq peptide	NP_001169187	hypothetical protein LOC100383039 
GRMZM5G820503	RefSeq peptide	YP_588385	hypothetical protein ZeamMp135 
GRMZM5G867256	RefSeq DNA	NM_001149167	hypothetical protein LOC100274918 (LOC100274918), mRNA
GRMZM5G861591	RefSeq peptide	NP_001168501	hypothetical protein LOC100382280 
GRMZM5G847184	UniProtKB/TrEMBL	C4IZ46	Putative uncharacterized protein 
GRMZM2G088245	RefSeq peptide	NP_001146758	hypothetical protein LOC100280360 
GRMZM2G143883	RefSeq peptide	NP_001142399	hypothetical protein LOC100274574 
GRMZM5G866910	UniProtKB/TrEMBL	B4FL44	Putative uncharacterized protein 
GRMZM2G179639	RefSeq peptide	NP_001170459	hypothetical protein LOC100384452 
GRMZM5G812170	UniProtKB/TrEMBL	C4IZL0	Putative uncharacterized protein 
GRMZM2G419782	UniProtKB/TrEMBL	B6SWX0	Ribosomal protein L15 
GRMZM5G804600	UniProtKB/TrEMBL	C4J2G9	Putative uncharacterized protein 
GRMZM2G418232	RefSeq peptide	NP_001168023	hypothetical protein LOC100381748 
GRMZM2G067067	RefSeq peptide	NP_001149792	DCN1-like protein 4 
GRMZM2G005955	RefSeq peptide	NP_001145058	hypothetical protein LOC100278249 
GRMZM5G882527	RefSeq peptide	NP_001131806	hypothetical protein LOC100193179 
GRMZM5G872204	RefSeq peptide	NP_001169275	hypothetical protein LOC100383138 
GRMZM2G033828	UniProtKB/Swiss-Prot	Q3LXA7	Retinoblastoma-related protein 3 (ZmRBR3)
GRMZM5G857133	UniProtKB/TrEMBL	C4IYD3	Putative uncharacterized protein 
GRMZM2G472696	UniProtKB/TrEMBL	C4J4M8	Histone H2B 
GRMZM2G546546	UniProtKB/TrEMBL	B6TFM9	Putative uncharacterized protein 
GRMZM2G092497	RefSeq peptide	NP_001104977	hypothetical protein LOC541826 
GRMZM5G831393	UniProtKB/TrEMBL	C0PCH6	Putative uncharacterized protein 
GRMZM2G056078	RefSeq peptide	NP_001143238	hypothetical protein LOC100275762 
GRMZM2G343048	RefSeq DNA	NM_001165472	hypothetical protein LOC100303855 (LOC100303855), mRNA
AC210517.3_FG003	RefSeq peptide	NP_001131972	hypothetical protein LOC100193370 
AC202185.4_FG004	RefSeq peptide	NP_001150191	hsp20/alpha crystallin family protein 
GRMZM5G849455	RefSeq peptide	NP_001168924	hypothetical protein LOC100382734 
GRMZM2G023119	RefSeq DNA	NM_001150001	hypothetical protein LOC100276144 (LOC100276144), mRNA
GRMZM2G153984	RefSeq peptide	NP_001148591	2-hydroxy-3-oxopropionate reductase 
GRMZM5G801505	UniProtKB/TrEMBL	C4J4H9	Putative uncharacterized protein 
GRMZM5G802232	UniProtKB/TrEMBL	B7ZYC1	Putative uncharacterized protein 
GRMZM2G104632	RefSeq peptide	NP_001149357	LOC100282981 
GRMZM2G134244	RefSeq peptide	NP_001132038	hypothetical protein LOC100193448 
GRMZM5G828884	UniProtKB/TrEMBL	B7ZZ95	Putative uncharacterized protein 
GRMZM5G897980	UniProtKB/TrEMBL	C4JB27	Putative uncharacterized protein 
GRMZM5G837932	UniProtKB/TrEMBL	B6SH74	Putative uncharacterized protein 
GRMZM5G887400	RefSeq peptide	NP_001159149	hypothetical protein LOC100304232 
GRMZM5G854160	UniProtKB/TrEMBL	C0HHG0	Putative uncharacterized protein 
GRMZM2G126216	UniProtKB/TrEMBL	C0PCR9	Putative uncharacterized protein 
GRMZM5G817441	RefSeq peptide	NP_001159094	hypothetical protein LOC100304157 
GRMZM2G151618	UniProtKB/TrEMBL	B6TH85	Putative uncharacterized protein 
GRMZM2G097987	RefSeq peptide	NP_001141473	hypothetical protein LOC100273583 
GRMZM5G888489	UniProtKB/TrEMBL	C4J2W7	Putative uncharacterized protein 
GRMZM5G809243	UniProtKB/TrEMBL	C0HIL4	Putative uncharacterized protein 
GRMZM2G417258	RefSeq peptide	NP_001169576	hypothetical protein LOC100383457 
GRMZM5G832108	RefSeq peptide	NP_001131442	hypothetical protein LOC100192774 
GRMZM5G822352	RefSeq peptide	NP_001170156	hypothetical protein LOC100384088 
GRMZM5G854500	RefSeq peptide	NP_001152498	acyltransferase 
GRMZM2G427697	UniProtKB/TrEMBL	B6U4H3	Putative uncharacterized protein 
GRMZM5G868661	UniProtKB/TrEMBL	C4IYD0	Putative uncharacterized protein 
GRMZM5G885700	RefSeq peptide	NP_001131916	hypothetical protein LOC100193305 
GRMZM5G821668	RefSeq peptide	NP_001170143	hypothetical protein LOC100384072 
GRMZM2G061485	RefSeq peptide	NP_001152264	OB-fold nucleic acid binding domain containing protein 
GRMZM2G466835	RefSeq peptide	NP_001170171	hypothetical protein LOC100384111 
GRMZM5G819912	RefSeq peptide	NP_001170550	hypothetical protein LOC100384569 
GRMZM2G704277	RefSeq peptide	NP_001147099	calcium-binding protein 
GRMZM5G856436	RefSeq peptide	NP_001148915	protein yippee-like 
AC190704.3_FG001	UniProtKB/TrEMBL	C4J640	Putative uncharacterized protein 
GRMZM5G834507	RefSeq peptide	NP_001168093	hypothetical protein LOC100381828 
GRMZM5G865576	RefSeq peptide	NP_001131781	hypothetical protein LOC100193152 
GRMZM5G837526	UniProtKB/TrEMBL	C4J482	Putative uncharacterized protein 
GRMZM2G134903	RefSeq DNA	NM_001154528	exonuclease (LOC100281609), mRNA
GRMZM5G803308	RefSeq peptide	NP_001159044	MYB transcription factor TaMYB1 
GRMZM5G847096	UniProtKB/TrEMBL	C0PG89	Putative uncharacterized protein 
GRMZM5G879737	RefSeq peptide	NP_001146003	hypothetical protein LOC100279533 
GRMZM2G164562	RefSeq peptide	NP_001148583	chorismate synthase 2 
GRMZM5G865045	UniProtKB/TrEMBL	C4J7D1	Putative uncharacterized protein 
GRMZM2G050825	RefSeq peptide	NP_001132078	hypothetical protein LOC100193492 
GRMZM2G470075	UniProtKB/TrEMBL	B7ZZM9	Putative uncharacterized protein 
GRMZM5G895534	RefSeq peptide	NP_001144960	hypothetical protein LOC100278097 
GRMZM2G125850	RefSeq peptide	NP_001146331	hypothetical protein LOC100279907 
GRMZM2G010924	RefSeq peptide	NP_001151664	harpin-induced protein 
GRMZM2G131286	UniProtKB/Swiss-Prot	Q195N6	Pyruvate, phosphate dikinase regulatory protein, chloroplastic Precursor (EC 2.7.11.n1)(EC 2.7.4.n1)(Pyruvate, Pi dikinase regulatory protein)(PPDK regulatory protein)(PPDK RP)(Bifunctional dikinase regulatory protein)(BFRP)
GRMZM5G839260	UniProtKB/TrEMBL	B7ZYW9	Putative uncharacterized protein 
GRMZM5G841727	RefSeq peptide	NP_001169429	hypothetical protein LOC100383299 
GRMZM5G803981	RefSeq peptide	NP_001168436	hypothetical protein LOC100382206 
GRMZM5G804323	UniProtKB/TrEMBL	B6SRD4	Oxygen-evolving enhancer protein 3-1 
GRMZM5G821027	RefSeq DNA	NM_001175435	hypothetical protein LOC100382712 (LOC100382712), mRNA
GRMZM5G816086	RefSeq peptide	NP_001170660	hypothetical protein LOC100384717 
GRMZM5G859130	UniProtKB/Swiss-Prot	P25459	30S ribosomal protein S18, chloroplastic 
GRMZM5G805293	UniProtKB/Swiss-Prot	P25461	50S ribosomal protein L33, chloroplastic 
GRMZM5G824834	UniProtKB/Swiss-Prot	P62596	Photosystem I reaction center subunit IX (PSI-J)
GRMZM5G806638	UniProtKB/TrEMBL	C0PLJ2	Putative uncharacterized protein 
GRMZM5G852833	RefSeq peptide	NP_001142186	hypothetical protein LOC100274354 
GRMZM5G878558	RefSeq peptide	NP_001169343	hypothetical protein LOC100383210 
GRMZM2G104920	RefSeq peptide	NP_001152482	ubiquitin ligase protein COP1 
GRMZM5G803893	UniProtKB/TrEMBL	C4J8X8	Putative uncharacterized protein 
GRMZM2G030628	RefSeq peptide	NP_001168735	hypothetical protein LOC100382527 
GRMZM2G013079	RefSeq peptide	NP_001131318	hypothetical protein LOC100192632 
GRMZM2G081359	RefSeq peptide	NP_001168732	hypothetical protein LOC100382524 
AC205560.3_FG003	RefSeq DNA	NM_001147113	hypothetical protein LOC100272655 (LOC100272655), mRNA
GRMZM5G892709	UniProtKB/TrEMBL	C4J2T4	Putative uncharacterized protein 
GRMZM5G813661	RefSeq peptide	NP_001140829	hypothetical protein LOC100272904 
GRMZM5G815919	UniProtKB/TrEMBL	C4J0V1	Putative uncharacterized protein 
GRMZM2G086258	RefSeq peptide	NP_001104869	plastidic general dicarboxylate transporter 
GRMZM2G039542	RefSeq peptide	NP_001149724	succinate dehydrogenase subunit 3 
GRMZM2G136347	RefSeq peptide	NP_001147194	cupin, RmlC-type 
GRMZM2G110143	RefSeq peptide	NP_001130064	hypothetical protein LOC100191156 
GRMZM5G853909	UniProtKB/TrEMBL	C0PLJ3	Putative uncharacterized protein 
GRMZM2G024192	RefSeq peptide	YP_588396	hypothetical protein ZeamMp149 
GRMZM2G095239	RefSeq peptide	NP_001105670	single myb histone 6 
GRMZM5G841719	UniProtKB/TrEMBL	C0PFR2	Putative uncharacterized protein 
GRMZM5G852608	RefSeq DNA	NM_001150060	hypothetical protein LOC100276219 (LOC100276219), mRNA
GRMZM5G880069	RefSeq peptide	NP_001131554	hypothetical protein LOC100192894 
GRMZM5G815147	UniProtKB/TrEMBL	B7ZZH2	Putative uncharacterized protein 
GRMZM2G020840	RefSeq peptide	NP_001168041	hypothetical protein LOC100381769 
GRMZM2G325014	UniProtKB/TrEMBL	C0PD25	Putative uncharacterized protein 
GRMZM2G011575	RefSeq peptide	NP_001144631	hypothetical protein LOC100277650 
GRMZM2G451295	RefSeq peptide	NP_001168632	hypothetical protein LOC100382418 
AC195874.2_FG002	UniProtKB/Swiss-Prot	O50016	AP-2 complex subunit sigma-1 (Sigma2-adaptin)(Plasma membrane adaptor AP-2 17 kDa protein)(Clathrin assembly protein 2 small chain)(Clathrin coat assembly protein AP17)(Clathrin coat-associated protein AP17)
GRMZM5G875729	UniProtKB/TrEMBL	C4J259	Putative uncharacterized protein 
GRMZM5G882806	UniProtKB/TrEMBL	C4J1X4	Putative uncharacterized protein 
GRMZM5G804575	RefSeq DNA	NM_001156644	nodulin-like protein 5NG4 (LOC100283745), mRNA
GRMZM5G808768	UniProtKB/TrEMBL	C4J1I7	Putative uncharacterized protein 
GRMZM2G448389	UniProtKB/TrEMBL	Q5SBI4	Putative uncharacterized protein 
AC234528.1_FG005	RefSeq peptide	NP_001141560	hypothetical protein LOC100273676 
GRMZM2G107727	RefSeq peptide	NP_001168982	hypothetical protein LOC100382810 
GRMZM2G107854	UniProtKB/TrEMBL	C4J1C7	Putative uncharacterized protein 
GRMZM5G890241	RefSeq peptide	NP_001148341	LAP4 protein 
GRMZM5G876940	UniProtKB/TrEMBL	C4JBP7	Putative uncharacterized protein 
AC199068.2_FG017	RefSeq peptide	NP_001140685	hypothetical protein LOC100272760 
GRMZM5G857971	RefSeq peptide	NP_001145120	hypothetical protein LOC100278340 
GRMZM5G850015	RefSeq peptide	NP_001147020	pyridoxin biosynthesis protein ER1 
GRMZM5G840582	RefSeq peptide	NP_001151209	alanine aminotransferase 2 
GRMZM2G083083	UniProtKB/TrEMBL	C4IZ63	Putative uncharacterized protein 
GRMZM5G891984	UniProtKB/TrEMBL	C4J999	Putative uncharacterized protein 
GRMZM5G867093	UniProtKB/TrEMBL	B8A2V6	Putative uncharacterized protein 
GRMZM2G130034	RefSeq peptide	NP_001145691	hypothetical protein LOC100279195 
GRMZM2G072939	RefSeq peptide	NP_001168964	hypothetical protein LOC100382789 
GRMZM5G872373	RefSeq peptide	NP_001141271	hypothetical protein LOC100273360 
GRMZM5G866884	UniProtKB/TrEMBL	B6TQH2	Putative uncharacterized protein 
GRMZM5G848160	UniProtKB/TrEMBL	C0P5T4	Putative uncharacterized protein 
GRMZM5G836353	RefSeq peptide	NP_001137114	hypothetical protein LOC100217292 
GRMZM2G087068	RefSeq DNA	NM_001176429	hypothetical protein LOC100383795 (LOC100383795), mRNA
GRMZM5G838894	RefSeq peptide	NP_001170186	hypothetical protein LOC100384134 
GRMZM5G823891	RefSeq peptide	NP_001131337	hypothetical protein LOC100192653 
GRMZM2G113596	RefSeq peptide	NP_001142872	hypothetical protein LOC100275271 
GRMZM2G399136	RefSeq peptide	NP_001147752	chaperone protein dnaJ 11 
GRMZM5G811851	UniProtKB/TrEMBL	C0PLE0	Putative uncharacterized protein 
GRMZM2G048584	RefSeq peptide	NP_001144769	hypothetical protein LOC100277832 
GRMZM5G805967	UniProtKB/TrEMBL	C0PDP6	Putative uncharacterized protein 
GRMZM5G838592	RefSeq peptide	NP_001146129	hypothetical protein LOC100279691 
GRMZM2G016259	RefSeq peptide	NP_001169855	hypothetical protein LOC100383748 
GRMZM2G105652	RefSeq peptide	NP_001146072	hypothetical protein LOC100279604 
GRMZM5G843555	RefSeq DNA	NM_001146862	hypothetical protein LOC100272381 (LOC100272381), mRNA
GRMZM5G892242	UniProtKB/TrEMBL	C4J3X8	Putative uncharacterized protein 
GRMZM2G418223	RefSeq peptide	NP_001131553	hypothetical protein LOC100192893 
GRMZM2G077844	RefSeq peptide	NP_001151446	VHS and GAT domain protein 
GRMZM5G828829	UniProtKB/TrEMBL	B7ZZI7	Putative uncharacterized protein 
GRMZM2G099989	UniProtKB/TrEMBL	C0PI48	Putative uncharacterized protein 
GRMZM2G170061	RefSeq peptide	NP_001132565	hypothetical protein LOC100194030 
GRMZM5G801651	RefSeq peptide	NP_001144059	hypothetical protein LOC100276884 
GRMZM2G529859	UniProtKB/TrEMBL	B4FSG0	Putative uncharacterized protein 
GRMZM2G157809	UniProtKB/TrEMBL	B6T8H9	Myosin-like protein 
GRMZM5G868047	RefSeq DNA	NM_001177141	hypothetical protein LOC100384656 (LOC100384656), mRNA
GRMZM5G823193	RefSeq peptide	NP_001170612	hypothetical protein LOC100384656 
GRMZM5G861269	RefSeq DNA	NM_001157488	LOC100284593 (cl3331_-2b), mRNA
GRMZM2G463291	RefSeq peptide	NP_001105183	vacuolar processing enzyme1 
GRMZM5G871463	RefSeq peptide	NP_001152591	LOC100286231 
GRMZM5G851815	UniProtKB/TrEMBL	C4JBX8	Putative uncharacterized protein 
GRMZM5G848523	UniProtKB/TrEMBL	C0PK07	Putative uncharacterized protein 
GRMZM2G147026	RefSeq peptide	NP_001148106	casein kinase I isoform delta-like 
GRMZM2G412899	RefSeq DNA	NM_001155471	metabolite transport protein csbC (LOC100282563), mRNA
GRMZM2G703307	RefSeq peptide	NP_001143187	hypothetical protein LOC100275687 
GRMZM5G837732	RefSeq DNA	NM_001158387	CBL-interacting serine/threonine-protein kinase 15 (LOC100285495), mRNA
AC199782.5_FG003	RefSeq peptide	NP_001131265	hypothetical protein LOC100192578 
GRMZM2G066234	RefSeq peptide	NP_001150313	single-strand binding protein 
GRMZM2G366373	RefSeq peptide	NP_001159169	hypothetical protein LOC100304254 
GRMZM5G825931	UniProtKB/TrEMBL	B4FY43	Putative uncharacterized protein 
GRMZM2G352248	RefSeq peptide	NP_001131613	hypothetical protein LOC100192965 
GRMZM2G032171	RefSeq peptide	NP_001148273	RHB1A 
GRMZM2G148536	RefSeq peptide	NP_001150407	thaumatin-like protein 1 
GRMZM5G867945	UniProtKB/TrEMBL	C4J8M2	Putative uncharacterized protein 
GRMZM5G815851	RefSeq peptide	NP_001132528	hypothetical protein LOC100193991 
GRMZM2G040452	RefSeq peptide	NP_001151594	catalytic/ protein phosphatase type 2C 
GRMZM5G825953	UniProtKB/TrEMBL	C0PLC1	Putative uncharacterized protein 
GRMZM5G897033	UniProtKB/TrEMBL	C4J121	Putative uncharacterized protein 
GRMZM2G070508	RefSeq peptide	NP_001145812	hypothetical protein LOC100279319 
GRMZM5G834758	UniProtKB/Swiss-Prot	P27347	DNA-binding protein MNB1B (HMG1-like protein)
GRMZM2G561273	UniProtKB/TrEMBL	B6SR78	Putative uncharacterized protein 
AC210314.3_FG006	RefSeq peptide	NP_001143751	hypothetical protein LOC100276509 
GRMZM2G060837	RefSeq peptide	NP_001130874	hypothetical protein LOC100191978 
GRMZM5G805540	RefSeq peptide	NP_001130864	hypothetical protein LOC100191968 
GRMZM2G027741	RefSeq peptide	NP_001148639	protein transporter 
GRMZM5G803063	UniProtKB/TrEMBL	C0PK46	Putative uncharacterized protein 
GRMZM5G879509	UniProtKB/TrEMBL	C0PI45	Putative uncharacterized protein 
GRMZM5G844272	UniProtKB/TrEMBL	C4J6F6	Putative uncharacterized protein 
GRMZM2G146313	RefSeq peptide	NP_001168579	hypothetical protein LOC100382363 
GRMZM2G150915	RefSeq peptide	NP_001142516	hypothetical protein LOC100274752 
GRMZM2G056252	RefSeq peptide	NP_001130234	hypothetical protein LOC100191328 
GRMZM5G852677	UniProtKB/TrEMBL	B7ZYI4	Putative uncharacterized protein 
